Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
MDT,Medtronic,Health Care,Health Care Equipment,2.39,12.63,7.63,22.66,3,34.78,108797435904.0,0.722683,7
MRK,Merck & Co.,Health Care,Pharmaceuticals,0.79,11.47,9.57,21.84,3,31.62,272834150400.0,0.334024,4
META,Meta Platforms,Communication Services,Interactive Media & Services,1.02,21.01,10.51,32.54,4,71.77,802106966016.0,1.234094,10
MET,MetLife,Financials,Life & Health Insurance,0.73,4.82,9.41,14.95,2,10.09,49370247168.0,1.092323,3
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1.0,7.41,4.91,13.32,0,6.85,25553391616.0,1.151798,5
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2.0,12.97,10.53,25.49,2,46.91,14414520320.0,2.109266,1
MCHP,Microchip Technology,Information Technology,Semiconductors,14.83,8.75,7.4,30.98,1,68.58,42256646144.0,1.626901,7
MU,Micron Technology,Information Technology,Semiconductors,6.6,5.07,5.77,17.44,2,17.03,76539559936.0,1.3565,1
MSFT,Microsoft,Information Technology,Systems Software,1.53,8.39,5.33,15.24,3,10.73,2453455241216.0,0.904564,2
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,5.5,3.74,5.4,14.64,1,9.44,16536815616.0,0.751383,2
MRNA,Moderna,Health Care,Biotechnology,3.7,8.73,6.2,6.21,2,29.85,43612147712.0,1.621737,10
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,5.61,4.19,4.36,14.17,2,8.53,5961927680.0,1.326417,2
MOH,Molina Healthcare,Health Care,Managed Health Care,3.7,8.73,6.2,6.21,2,29.85,19099080704.0,0.649031,7
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,6.96,8.67,5.57,21.21,2,29.97,13756488704.0,0.896611,10
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,9.46,9.08,5.18,23.78,3,39.15,97868619776.0,0.652489,6
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,3.7,8.73,6.2,6.21,2,29.85,22179981312.0,1.137966,9
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,12.43,10.58,5.03,28.03,2,55.81,58807771136.0,0.832295,9
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,0.02,5.23,5.25,10.5,2,2.86,62594035712.0,1.304979,4
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,0.72,11.76,9.73,22.22,3,32.92,146492719104.0,1.335753,8
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,14.35,11.05,8.66,34.06,2,77.7,12756229120.0,1.525242,2
MSI,Motorola Solutions,Information Technology,Communications Equipment,2.21,6.7,5.39,14.31,3,8.8,47301734400.0,0.922544,6
MSCI,MSCI,Financials,Financial Exchanges & Data,1.65,6.77,7.59,16.01,0,12.86,41923284992.0,1.130013,7
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1.81,4.56,5.28,11.65,1,4.2,24944113664.0,0.913208,2
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",2.58,6.93,5.98,15.49,1,11.56,16227237888.0,1.200553,3
NFLX,Netflix,Communication Services,Movies & Entertainment,0.09,6.83,9.34,16.25,2,13.39,175902769152.0,1.286307,10
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,6.22,4.03,3.42,13.67,2,7.54,3930757888.0,1.003457,3
NEM,Newmont,Materials,Gold,6.92,8.24,5.16,20.33,3,26.81,32022022144.0,0.394536,7
NWSA,News Corp (Class A),Communication Services,Publishing,0.02,4.58,7.02,11.61,2,4.12,11690182656.0,1.331258,10
NWS,News Corp (Class B),Communication Services,Publishing,3.7,8.73,6.2,6.21,2,29.85,11758681088.0,1.331258,10
NEE,NextEra Energy,Utilities,Multi-Utilities,14.05,7.64,5.83,27.53,2,53.78,138907451392.0,0.473029,6
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3.04,6.99,6.92,16.95,3,15.43,147274924032.0,1.120331,8
NI,NiSource,Utilities,Multi-Utilities,14.08,10.25,5.18,29.51,3,63.4,11434766336.0,0.468533,2
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,9.26,11.8,5.59,26.66,1,51.79,13158376448.0,0.944329,8
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,8.05,11.36,3.32,22.73,2,35.04,46317871104.0,1.290802,7
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1.87,11.83,10.17,23.86,2,40.29,15053331456.0,1.091632,4
NOC,Northrop Grumman,Industrials,Aerospace & Defense,7.47,14.87,5.05,27.4,2,53.22,65587036160.0,0.514177,4
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",11.98,10.12,4.12,26.22,2,50.11,7330055168.0,2.613762,8
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,17.08,9.42,5.67,32.16,2,72.43,8958474240.0,1.008644,4
NUE,Nucor,Materials,Steel,9.66,13.33,8.95,31.94,2,71.72,38656372736.0,1.627593,8
NVDA,Nvidia,Information Technology,Semiconductors,2.26,5.16,6.03,13.45,2,7.14,1084330082304.0,1.736514,8
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,7.21,7.82,5.3,20.33,1,26.87,19835994112.0,1.035615,10
NXPI,NXP Semiconductors,Information Technology,Semiconductors,8.67,7.39,5.55,21.6,1,30.84,50884960256.0,1.576417,1
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,0.16,8.89,3.98,13.03,1,6.3,56052875264.0,0.847164,9
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,24.61,12.04,6.59,43.23,2,93.0,58521714688.0,1.792876,3
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,3.7,8.73,6.2,6.21,2,29.85,44756172800.0,1.120677,9
OMC,Omnicom Group,Communication Services,Advertising,0.09,9.33,6.88,16.3,1,13.73,15293972480.0,0.869294,2
ON,ON Semiconductor,Information Technology,Semiconductors,14.8,6.36,5.42,26.59,1,51.57,40175349760.0,1.77697,2
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,11.78,11.01,3.31,26.1,1,49.58,30235969536.0,1.646957,5
ORCL,Oracle Corporation,Information Technology,Application Software,0.52,7.71,5.69,13.92,2,8.04,312092917760.0,0.991009,10
OGN,Organon & Co.,Health Care,Pharmaceuticals,3.7,8.73,6.2,6.21,2,29.85,4993799168.0,0.768436,5
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,3.7,8.73,6.2,6.21,2,29.85,33400754176.0,0.86061,1
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,8.36,10.99,8.42,27.77,3,56.23,44553441280.0,0.984439,7
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,11.65,1.35,3.76,16.75,1,15.05,13464786944.0,0.925656,7
PANW,Palo Alto Networks,Information Technology,Application Software,0.7,7.62,5.6,13.92,1,8.08,74124517376.0,1.191908,8
PARA,Paramount Global,Communication Services,Movies & Entertainment,3.7,8.73,6.2,6.21,2,29.85,9286377472.0,1.681881,10
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,9.2,13.68,6.24,29.13,2,61.64,50360365056.0,1.519017,7
PAYX,Paychex,Industrials,Human Resource & Employment Services,1.17,9.81,6.51,17.48,0,17.44,41865748480.0,0.980636,2
PAYC,Paycom,Information Technology,Application Software,3.7,8.73,6.2,6.21,2,29.85,16105214976.0,1.420124,10
PYPL,PayPal,Financials,Transaction & Payment Processing Services,0.71,9.92,5.36,15.99,2,12.68,70505152512.0,1.339557,6
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,6.66,10.01,6.07,22.74,1,35.74,11039455232.0,1.153526,2
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,4.91,6.55,4.48,15.94,3,12.56,247564140544.0,0.549446,7
PFE,Pfizer,Health Care,Pharmaceuticals,2.83,12.85,9.66,25.34,3,45.4,192357859328.0,0.547026,5
PCG,PG&E Corporation,Utilities,Multi-Utilities,8.41,20.65,6.2,35.26,5,79.45,43296464896.0,1.12863,5
PM,Philip Morris International,Consumer Staples,Tobacco,3.57,10.73,9.49,23.79,3,39.17,148699611136.0,0.735822,8
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,16.39,7.0,5.96,29.35,3,60.82,53893206016.0,1.371715,9
PNW,Pinnacle West,Utilities,Multi-Utilities,14.86,10.23,5.97,31.06,1,68.9,8908590080.0,0.472683,6
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,18.67,8.97,9.1,36.74,1,83.4,54554992640.0,1.456085,7
PNC,PNC Financial Services,Financials,Regional Banks,1.73,11.75,8.86,22.34,3,33.46,50319519744.0,1.132088,8
POOL,Pool Corporation,Consumer Discretionary,Distributors,3.7,8.73,6.2,6.21,2,29.85,13672104960.0,0.980636,1
PPG,PPG Industries,Materials,Specialty Chemicals,9.32,7.69,7.32,24.33,1,41.53,31511640064.0,1.184301,6
PPL,PPL Corporation,Utilities,Electric Utilities,19.71,8.31,5.81,33.84,2,75.37,18913703936.0,0.808091,2
PFG,Principal Financial Group,Financials,Life & Health Insurance,0.68,6.65,9.88,17.22,1,16.56,18599968768.0,1.30982,5
PG,Procter & Gamble,Consumer Staples,Personal Care Products,9.54,9.6,7.47,26.61,3,50.48,364776685568.0,0.410442,3
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1.67,8.36,10.85,20.87,1,28.77,81176780800.0,0.466459,3
PLD,Prologis,Real Estate,Industrial REITs,2.5,1.74,4.27,8.51,1,1.58,113801322496.0,0.991355,9
PRU,Prudential Financial,Financials,Life & Health Insurance,1.03,6.57,8.6,16.21,1,13.28,35824472064.0,1.405601,1
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,11.56,9.28,5.46,26.31,2,50.51,30620459008.0,0.599585,6
PTC,PTC,Information Technology,Application Software,4.92,8.61,5.4,18.93,0,22.17,16808927232.0,1.180497,7
PSA,Public Storage,Real Estate,Self-Storage REITs,4.51,2.55,5.24,12.3,1,5.09,48329977856.0,0.451936,3
PHM,PulteGroup,Consumer Discretionary,Homebuilding,8.73,7.28,4.86,20.87,2,28.74,16737069056.0,1.394882,6
QRVO,Qorvo,Information Technology,Semiconductors,13.12,8.5,7.46,29.08,0,61.41,9392544768.0,1.43603,5
PWR,Quanta Services,Industrials,Construction & Engineering,12.4,15.73,9.05,37.18,2,85.61,28929452032.0,1.077109,5
QCOM,Qualcomm,Information Technology,Semiconductors,4.83,4.05,7.71,16.59,4,14.45,126264238080.0,1.25242,2
DGX,Quest Diagnostics,Health Care,Health Care Services,0.13,12.67,8.18,20.98,3,29.11,14166301696.0,0.941562,3
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.14,6.79,5.28,13.21,2,6.61,7559689216.0,1.430497,10
RJF,Raymond James,Financials,Investment Banking & Brokerage,1.18,10.38,12.43,23.99,2,40.72,22486018048.0,1.06639,5
RTX,RTX Corporation,Industrials,Aerospace & Defense,3.7,8.73,6.2,6.21,2,29.85,110327660544.0,0.715421,3
O,Realty Income,Real Estate,Retail REITs,4.41,5.32,5.74,15.47,2,11.53,38345428992.0,0.792531,2
REG,Regency Centers,Real Estate,Retail REITs,3.56,2.86,4.45,10.88,0,3.27,11603947520.0,1.184647,1
REGN,Regeneron,Health Care,Biotechnology,0.38,10.75,7.03,18.15,2,19.32,89387483136.0,0.185684,10
RF,Regions Financial Corporation,Financials,Regional Banks,1.6,7.03,7.44,16.08,2,13.04,16853250048.0,1.214038,7
RSG,Republic Services,Industrials,Environmental & Facilities Services,11.3,6.02,3.66,20.98,3,29.14,47493189632.0,0.672544,4
RMD,ResMed,Health Care,Health Care Equipment,3.36,12.41,10.63,26.41,1,50.87,21382653952.0,0.519017,2
RVTY,Revvity,Health Care,Health Care Equipment,3.7,8.73,6.2,6.21,2,29.85,14081874944.0,1.074343,9
RHI,Robert Half,Industrials,Human Resource & Employment Services,0.1,7.37,3.46,10.93,1,3.3,8041858048.0,1.318464,2
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,5.37,6.64,5.65,17.67,2,18.11,32758073344.0,1.453319,8
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,1.76,11.18,7.34,20.28,1,26.64,17926111232.0,0.659405,9
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,4.62,12.71,5.56,22.9,0,36.43,52908380160.0,1.018326,7
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1.8,8.45,5.68,15.93,2,12.54,40016142336.0,0.973029,6
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",9.14,8.04,3.79,20.97,3,29.08,24956372992.0,2.481673,9
SPGI,S&P Global,Financials,Financial Exchanges & Data,0.0,6.16,8.15,14.31,1,8.81,123544338432.0,1.121715,2
CRM,Salesforce,Information Technology,Application Software,2.34,6.39,4.46,13.18,2,6.62,208815538176.0,1.192946,5
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,3.11,3.23,5.23,11.58,0,4.07,23643750400.0,0.512448,6
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,7.41,8.76,5.76,21.93,1,32.0,87544766464.0,1.830221,4
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1.59,3.8,5.26,10.66,1,2.13,13250310144.0,1.101659,7
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,15.83,1.52,3.23,20.57,2,27.76,5090950144.0,1.301175,1
SRE,Sempra Energy,Utilities,Multi-Utilities,12.09,7.14,5.5,24.72,3,42.98,46002339840.0,0.749308,7
NOW,ServiceNow,Information Technology,Systems Software,1.41,8.39,6.26,16.05,1,12.99,118234324992.0,1.006915,9
SHW,Sherwin-Williams,Materials,Specialty Chemicals,12.93,8.99,6.72,28.63,2,57.91,67277893632.0,1.097164,8
SPG,Simon Property Group,Real Estate,Retail REITs,3.83,3.99,6.38,14.21,1,8.62,43584835584.0,1.558437,10
SWKS,Skyworks Solutions,Information Technology,Semiconductors,11.63,8.93,7.21,27.76,1,56.21,15653985280.0,1.285615,9
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,12.36,12.44,6.16,30.97,2,68.5,12953275392.0,0.231673,8
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,9.33,13.91,7.59,30.83,1,68.05,13780515840.0,1.10408,3
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,3.7,8.73,6.2,6.21,2,29.85,7934493184.0,1.403872,4
SO,Southern Company,Utilities,Electric Utilities,14.79,11.0,7.3,33.09,2,73.34,77527195648.0,0.523167,2
LUV,Southwest Airlines,Industrials,Passenger Airlines,11.29,14.89,6.21,32.39,2,71.33,17684373504.0,1.168049,5
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,5.83,12.51,7.59,25.93,2,48.88,13479643136.0,1.367911,6
SBUX,Starbucks,Consumer Discretionary,Restaurants,6.11,14.5,4.21,24.83,3,43.47,110221852672.0,0.933264,1
STT,State Street Corporation,Financials,Asset Management & Custody Banks,1.96,11.2,9.11,22.27,2,33.16,22894282752.0,1.594744,4
STLD,Steel Dynamics,Materials,Steel,9.82,14.36,8.21,32.39,1,73.25,16350718976.0,1.523167,4
STE,Steris,Health Care,Health Care Equipment,3.7,8.73,6.2,6.21,2,29.85,22670331904.0,0.852351,7
SYK,Stryker Corporation,Health Care,Health Care Equipment,3.72,13.96,10.84,28.52,3,57.49,111187599360.0,0.957468,6
SYF,Synchrony Financial,Financials,Consumer Finance,0.13,9.89,7.19,17.22,2,16.29,13599311872.0,1.596127,2
SNPS,Synopsys,Information Technology,Application Software,3.18,6.2,4.07,13.45,0,7.1,68731322368.0,1.112033,3
SYY,Sysco,Consumer Staples,Food Distributors,2.79,4.7,4.57,12.06,2,4.68,35859845120.0,1.105463,9
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,5.03,13.35,7.69,26.07,3,48.42,166974963712.0,0.54668,10
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,2.36,9.3,5.39,17.05,1,16.02,24589461504.0,1.327455,8
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,3.7,8.73,6.2,6.21,2,29.85,24270548992.0,0.692254,9
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1.23,7.2,4.91,13.33,2,6.88,7048334848.0,1.506569,5
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,15.33,14.52,4.13,33.98,2,77.52,18939459584.0,2.256224,9
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,2.04,7.63,5.06,14.72,3,9.57,56800497664.0,1.010373,1
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,6.42,4.87,4.64,15.93,0,12.53,39769792512.0,1.347856,6
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,3.7,8.73,6.2,6.21,2,29.85,19537842176.0,1.029737,9
TFX,Teleflex,Health Care,Health Care Equipment,4.83,16.12,8.67,29.63,2,63.82,10030484480.0,1.029045,5
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,6.27,4.95,4.64,15.86,0,12.49,14706796544.0,1.527662,1
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2.78,16.16,9.61,28.54,3,57.53,870911115264.0,2.089211,9
TXN,Texas Instruments,Information Technology,Semiconductors,8.84,5.06,6.03,19.93,2,25.15,147653427200.0,1.015214,8
TXT,Textron,Industrials,Aerospace & Defense,11.05,16.23,6.53,33.81,2,77.01,15094990848.0,1.495504,5
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1.47,5.6,6.46,13.52,3,7.28,198968819712.0,0.770401,6
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1.89,7.42,5.12,14.43,2,9.04,105758760960.0,0.897648,8
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,3.04,6.78,4.14,13.96,2,8.17,23158693888.0,0.806362,1
TT,Trane Technologies,Industrials,Building Products,7.11,3.84,5.16,16.12,2,13.18,46248312832.0,1.200553,6
TDG,TransDigm Group,Industrials,Aerospace & Defense,12.84,17.85,8.4,39.09,2,88.57,47716913152.0,1.399031,10
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,0.99,9.45,10.08,20.52,1,27.27,37729640448.0,0.612378,5
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,3.17,3.72,6.09,12.98,0,6.23,12748851200.0,1.54668,4
TFC,Truist,Financials,Regional Banks,3.7,8.73,6.2,6.21,2,29.85,38627422208.0,1.053596,3
TYL,Tyler Technologies,Information Technology,Application Software,3.7,8.73,6.2,6.21,2,29.85,15795390464.0,0.81224,7
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,14.31,12.39,9.97,36.67,4,84.62,19392243712.0,0.775933,10
USB,U.S. Bank,Financials,Diversified Banks,1.71,15.85,12.49,30.05,3,63.72,54727495680.0,0.998616,5
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,3.15,4.0,5.21,12.36,1,5.15,13481120768.0,0.747233,6
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,3.83,7.2,4.29,15.33,2,11.13,20359473152.0,1.338174,3
UNP,Union Pacific Corporation,Industrials,Rail Transportation,9.43,12.14,3.69,25.26,2,45.1,130009161728.0,1.116874,1
UAL,United Airlines Holdings,Industrials,Passenger Airlines,10.9,12.95,4.96,28.81,2,60.3,14988686336.0,1.41632,10
UPS,United Parcel Service,Industrials,Air Freight & Logistics,4.58,9.55,5.38,19.5,2,23.87,137130680320.0,1.088174,10
URI,United Rentals,Industrials,Trading Companies & Distributors,5.89,6.57,5.99,18.45,1,20.56,30864465920.0,1.884163,3
UNH,UnitedHealth Group,Health Care,Managed Health Care,0.03,11.62,5.89,17.54,3,17.38,450832662528.0,0.668395,3
UHS,Universal Health Services,Health Care,Health Care Facilities,3.7,20.68,8.6,32.98,3,74.79,8751479808.0,1.265905,10
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,18.18,7.23,4.65,30.05,2,63.68,50738147328.0,1.649377,2
VTR,Ventas,Real Estate,Health Care REITs,2.75,4.28,5.73,12.75,0,5.78,17954105344.0,1.23271,5
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,4.74,10.77,5.93,21.44,1,30.97,20701057024.0,0.963347,5
VRSK,Verisk,Industrials,Research & Consulting Services,0.11,13.5,5.7,19.3,1,23.54,35625881600.0,0.830912,7
VZ,Verizon,Communication Services,Integrated Telecommunication Services,3.88,8.92,5.69,18.48,3,20.38,142054506496.0,0.328492,1
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0.75,15.4,6.67,22.82,2,36.05,90049347584.0,0.505878,8
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.9,6.91,5.07,12.89,2,6.03,7061842944.0,1.48686,5
VTRS,Viatris,Health Care,Pharmaceuticals,3.7,8.73,6.2,6.21,2,29.85,11719408640.0,1.175656,8
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,3.7,8.73,6.2,6.21,2,29.85,31801432064.0,0.954011,2
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0.71,7.84,7.52,16.07,3,12.91,501377400832.0,0.954011,4
VMC,Vulcan Materials Company,Materials,Construction Materials,15.61,4.56,8.85,29.02,2,61.2,27980251136.0,0.786307,7
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,4.52,11.69,7.04,23.25,1,37.82,19290509312.0,1.508298,4
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,2.03,11.52,4.73,18.29,3,19.73,19354310656.0,0.694329,8
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,4.4,13.92,6.31,24.63,4,42.64,444781559808.0,0.494467,9
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,3.7,8.73,6.2,6.21,2,29.85,28858580992.0,1.512448,10
WM,Waste Management,Industrials,Environmental & Facilities Services,8.22,5.24,3.28,16.73,2,14.85,65003868160.0,0.721991,1
WAT,Waters Corporation,Health Care,Health Care Distributors,1.37,9.4,6.24,17.01,0,15.87,16300578816.0,0.867911,3
WEC,WEC Energy Group,Utilities,Electric Utilities,14.68,7.4,5.27,27.36,1,54.55,27209424896.0,0.409059,4
WFC,Wells Fargo,Financials,Diversified Banks,1.94,15.4,15.51,32.84,5,72.65,157144596480.0,1.145573,6
WELL,Welltower,Real Estate,Health Care REITs,3.87,3.22,4.92,12.01,1,4.67,43765166080.0,1.048409,9
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,3.7,8.73,6.2,6.21,2,29.85,29114607616.0,1.075034,6
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",1.48,3.91,6.05,11.43,1,3.92,14034665472.0,1.669778,10
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,3.7,8.73,6.2,6.21,2,29.85,9366402048.0,1.216113,7
WY,Weyerhaeuser,Real Estate,Timber REITs,10.48,3.29,3.78,17.56,2,17.41,23785848832.0,1.536652,4
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,4.76,7.08,3.96,15.8,2,12.34,7563759616.0,1.543222,9
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,9.98,10.43,3.08,23.5,2,38.79,41771859968.0,1.203319,2
WTW,Willis Towers Watson,Financials,Insurance Brokers,0.13,8.68,9.79,18.61,2,21.08,21496053760.0,0.762793,2
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,3.41,5.48,5.72,14.6,1,9.34,34656624640.0,1.211618,2
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,3.55,11.98,10.96,26.49,3,51.18,11056349184.0,2.055325,10
XEL,Xcel Energy,Utilities,Multi-Utilities,12.87,6.75,4.18,23.8,2,40.01,31972368384.0,0.428077,3
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,3.56,7.4,5.08,16.04,1,12.91,23011211264.0,1.092669,4
YUM,Yum! Brands,Consumer Discretionary,Restaurants,4.46,11.65,4.44,20.55,2,27.31,35864207360.0,1.010373,3
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,3.7,8.73,6.2,6.21,2,29.85,12905447424.0,1.668049,8
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,4.46,14.6,8.24,27.3,2,54.32,25349423104.0,1.035269,6
ZION,Zions Bancorporation,Financials,Regional Banks,3.7,8.73,6.2,6.21,2,29.85,5469512704.0,1.141078,6
ZTS,Zoetis,Health Care,Pharmaceuticals,1.38,8.15,8.95,18.47,1,20.34,82972139520.0,0.77455,2
